Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2020M03;2018323.00
Total;Dato base;2020M02;4423576.00
Total;Dato base;2020M01;4138371.00
Total;Dato base;2019M12;4314612.00
Total;Dato base;2019M11;4664345.00
Total;Dato base;2019M10;7624486.00
Total;Dato base;2019M09;8914761.00
Total;Dato base;2019M08;10121985.00
Total;Dato base;2019M07;9887047.00
Total;Dato base;2019M06;8828499.00
Total;Dato base;2019M05;7952788.00
Total;Dato base;2019M04;7169675.00
Total;Dato base;2019M03;5649577.00
Total;Dato base;2019M02;4380504.00
Total;Dato base;2019M01;4195641.00
Total;Dato base;2018M12;4354798.00
Total;Dato base;2018M11;4536873.00
Total;Dato base;2018M10;7649860.00
Total;Dato base;2018M09;8932308.00
Total;Dato base;2018M08;10175761.00
Total;Dato base;2018M07;10020246.00
Total;Dato base;2018M06;8554306.00
Total;Dato base;2018M05;8086048.00
Total;Dato base;2018M04;6780378.00
Total;Dato base;2018M03;5393186.00
Total;Dato base;2018M02;4218047.00
Total;Dato base;2018M01;4106601.00
Total;Dato base;2017M12;3982530.00
Total;Dato base;2017M11;4392575.00
Total;Dato base;2017M10;7269931.00
Total;Dato base;2017M09;8877270.00
Total;Dato base;2017M08;10397745.00
Total;Dato base;2017M07;10493438.00
Total;Dato base;2017M06;8431975.00
Total;Dato base;2017M05;8002648.00
Total;Dato base;2017M04;7081594.00
Total;Dato base;2017M03;4913943.00
Total;Dato base;2017M02;4119137.00
Total;Dato base;2017M01;3905736.00
Total;Dato base;2016M12;3990446.00
Total;Dato base;2016M11;4098262.00
Total;Dato base;2016M10;7137723.00
Total;Dato base;2016M09;7932607.00
Total;Dato base;2016M08;10027471.00
Total;Dato base;2016M07;9545792.00
Total;Dato base;2016M06;7552758.00
Total;Dato base;2016M05;7111154.00
Total;Dato base;2016M04;6086327.00
Total;Dato base;2016M03;4627206.00
Total;Dato base;2016M02;3678726.00
Total;Dato base;2016M01;3526537.00
Total;Dato base;2015M12;3512914.00
Total;Dato base;2015M11;3754802.00
Total;Dato base;2015M10;6432341.00
Total;Tasa de variación anual;2020M03;-64.27
Total;Tasa de variación anual;2020M02;0.98
Total;Tasa de variación anual;2020M01;-1.36
Total;Tasa de variación anual;2019M12;-0.92
Total;Tasa de variación anual;2019M11;2.81
Total;Tasa de variación anual;2019M10;-0.33
Total;Tasa de variación anual;2019M09;-0.20
Total;Tasa de variación anual;2019M08;-0.53
Total;Tasa de variación anual;2019M07;-1.33
Total;Tasa de variación anual;2019M06;3.21
Total;Tasa de variación anual;2019M05;-1.65
Total;Tasa de variación anual;2019M04;5.74
Total;Tasa de variación anual;2019M03;4.75
Total;Tasa de variación anual;2019M02;3.85
Total;Tasa de variación anual;2019M01;2.17
Total;Tasa de variación anual;2018M12;9.35
Total;Tasa de variación anual;2018M11;3.29
Total;Tasa de variación anual;2018M10;5.23
Total;Tasa de variación anual;2018M09;0.62
Total;Tasa de variación anual;2018M08;-2.13
Total;Tasa de variación anual;2018M07;-4.51
Total;Tasa de variación anual;2018M06;1.45
Total;Tasa de variación anual;2018M05;1.04
Total;Tasa de variación anual;2018M04;-4.25
Total;Tasa de variación anual;2018M03;9.75
Total;Tasa de variación anual;2018M02;2.40
Total;Tasa de variación anual;2018M01;5.14
Total;Tasa de variación anual;2017M12;-0.20
Total;Tasa de variación anual;2017M11;7.18
Total;Tasa de variación anual;2017M10;1.85
Total;Tasa de variación anual;2017M09;11.91
Total;Tasa de variación anual;2017M08;3.69
Total;Tasa de variación anual;2017M07;9.93
Total;Tasa de variación anual;2017M06;11.64
Total;Tasa de variación anual;2017M05;12.54
Total;Tasa de variación anual;2017M04;16.35
Total;Tasa de variación anual;2017M03;6.20
Total;Tasa de variación anual;2017M02;11.97
Total;Tasa de variación anual;2017M01;10.75
Total;Tasa de variación anual;2016M12;13.59
Total;Tasa de variación anual;2016M11;9.15
Total;Tasa de variación anual;2016M10;10.97
Total;Tasa de variación anual;2016M09;9.52
Total;Tasa de variación anual;2016M08;6.34
Total;Tasa de variación anual;2016M07;9.99
Total;Tasa de variación anual;2016M06;12.89
Total;Tasa de variación anual;2016M05;8.19
Total;Tasa de variación anual;2016M04;11.59
Total;Tasa de variación anual;2016M03;15.45
Total;Tasa de variación anual;2016M02;13.95
Total;Tasa de variación anual;2016M01;11.04
Total;Tasa de variación anual;2015M12;7.92
Total;Tasa de variación anual;2015M11;10.56
Total;Tasa de variación anual;2015M10;8.89
Total;Acumulado en lo que va de año;2020M03;10580270.00
Total;Acumulado en lo que va de año;2020M02;8561947.00
Total;Acumulado en lo que va de año;2020M01;4138371.00
Total;Acumulado en lo que va de año;2019M12;83701011.00
Total;Acumulado en lo que va de año;2019M11;79386398.00
Total;Acumulado en lo que va de año;2019M10;74722053.00
Total;Acumulado en lo que va de año;2019M09;67097568.00
Total;Acumulado en lo que va de año;2019M08;58182807.00
Total;Acumulado en lo que va de año;2019M07;48060821.00
Total;Acumulado en lo que va de año;2019M06;38173774.00
Total;Acumulado en lo que va de año;2019M05;29345275.00
Total;Acumulado en lo que va de año;2019M04;21392487.00
Total;Acumulado en lo que va de año;2019M03;14225723.00
Total;Acumulado en lo que va de año;2019M02;8576146.00
Total;Acumulado en lo que va de año;2019M01;4195641.00
Total;Acumulado en lo que va de año;2018M12;82808413.00
Total;Acumulado en lo que va de año;2018M11;78453616.00
Total;Acumulado en lo que va de año;2018M10;73916743.00
Total;Acumulado en lo que va de año;2018M09;66266882.00
Total;Acumulado en lo que va de año;2018M08;57334574.00
Total;Acumulado en lo que va de año;2018M07;47158813.00
Total;Acumulado en lo que va de año;2018M06;37138567.00
Total;Acumulado en lo que va de año;2018M05;28584261.00
Total;Acumulado en lo que va de año;2018M04;20498213.00
Total;Acumulado en lo que va de año;2018M03;13717834.00
Total;Acumulado en lo que va de año;2018M02;8324648.00
Total;Acumulado en lo que va de año;2018M01;4106601.00
Total;Acumulado en lo que va de año;2017M12;81868522.00
Total;Acumulado en lo que va de año;2017M11;77885991.00
Total;Acumulado en lo que va de año;2017M10;73493416.00
Total;Acumulado en lo que va de año;2017M09;66223486.00
Total;Acumulado en lo que va de año;2017M08;57346216.00
Total;Acumulado en lo que va de año;2017M07;46948471.00
Total;Acumulado en lo que va de año;2017M06;36455033.00
Total;Acumulado en lo que va de año;2017M05;28023059.00
Total;Acumulado en lo que va de año;2017M04;20020410.00
Total;Acumulado en lo que va de año;2017M03;12938816.00
Total;Acumulado en lo que va de año;2017M02;8024873.00
Total;Acumulado en lo que va de año;2017M01;3905736.00
Total;Acumulado en lo que va de año;2016M12;75315008.00
Total;Acumulado en lo que va de año;2016M11;71324562.00
Total;Acumulado en lo que va de año;2016M10;67226301.00
Total;Acumulado en lo que va de año;2016M09;60088578.00
Total;Acumulado en lo que va de año;2016M08;52155971.00
Total;Acumulado en lo que va de año;2016M07;42128500.00
Total;Acumulado en lo que va de año;2016M06;32582708.00
Total;Acumulado en lo que va de año;2016M05;25029951.00
Total;Acumulado en lo que va de año;2016M04;17918796.00
Total;Acumulado en lo que va de año;2016M03;11832469.00
Total;Acumulado en lo que va de año;2016M02;7205263.00
Total;Acumulado en lo que va de año;2016M01;3526537.00
Total;Acumulado en lo que va de año;2015M12;
Total;Acumulado en lo que va de año;2015M11;
Total;Acumulado en lo que va de año;2015M10;
Total;Tasa de variación acumulada;2020M03;-25.63
Total;Tasa de variación acumulada;2020M02;-0.17
Total;Tasa de variación acumulada;2020M01;-1.36
Total;Tasa de variación acumulada;2019M12;1.08
Total;Tasa de variación acumulada;2019M11;1.19
Total;Tasa de variación acumulada;2019M10;1.09
Total;Tasa de variación acumulada;2019M09;1.25
Total;Tasa de variación acumulada;2019M08;1.48
Total;Tasa de variación acumulada;2019M07;1.91
Total;Tasa de variación acumulada;2019M06;2.79
Total;Tasa de variación acumulada;2019M05;2.66
Total;Tasa de variación acumulada;2019M04;4.36
Total;Tasa de variación acumulada;2019M03;3.70
Total;Tasa de variación acumulada;2019M02;3.02
Total;Tasa de variación acumulada;2019M01;2.17
Total;Tasa de variación acumulada;2018M12;1.15
Total;Tasa de variación acumulada;2018M11;0.73
Total;Tasa de variación acumulada;2018M10;0.58
Total;Tasa de variación acumulada;2018M09;0.07
Total;Tasa de variación acumulada;2018M08;-0.02
Total;Tasa de variación acumulada;2018M07;0.45
Total;Tasa de variación acumulada;2018M06;1.88
Total;Tasa de variación acumulada;2018M05;2.00
Total;Tasa de variación acumulada;2018M04;2.39
Total;Tasa de variación acumulada;2018M03;6.02
Total;Tasa de variación acumulada;2018M02;3.74
Total;Tasa de variación acumulada;2018M01;5.14
Total;Tasa de variación acumulada;2017M12;8.70
Total;Tasa de variación acumulada;2017M11;9.20
Total;Tasa de variación acumulada;2017M10;9.32
Total;Tasa de variación acumulada;2017M09;10.21
Total;Tasa de variación acumulada;2017M08;9.95
Total;Tasa de variación acumulada;2017M07;11.44
Total;Tasa de variación acumulada;2017M06;11.88
Total;Tasa de variación acumulada;2017M05;11.96
Total;Tasa de variación acumulada;2017M04;11.73
Total;Tasa de variación acumulada;2017M03;9.35
Total;Tasa de variación acumulada;2017M02;11.38
Total;Tasa de variación acumulada;2017M01;10.75
Total;Tasa de variación acumulada;2016M12;10.46
Total;Tasa de variación acumulada;2016M11;10.29
Total;Tasa de variación acumulada;2016M10;10.36
Total;Tasa de variación acumulada;2016M09;10.29
Total;Tasa de variación acumulada;2016M08;10.41
Total;Tasa de variación acumulada;2016M07;11.42
Total;Tasa de variación acumulada;2016M06;11.85
Total;Tasa de variación acumulada;2016M05;11.54
Total;Tasa de variación acumulada;2016M04;12.93
Total;Tasa de variación acumulada;2016M03;13.64
Total;Tasa de variación acumulada;2016M02;12.50
Total;Tasa de variación acumulada;2016M01;11.04
Total;Tasa de variación acumulada;2015M12;
Total;Tasa de variación acumulada;2015M11;
Total;Tasa de variación acumulada;2015M10;
01 Andalucía;Dato base;2020M03;302928.00
01 Andalucía;Dato base;2020M02;625033.00
01 Andalucía;Dato base;2020M01;606190.00
01 Andalucía;Dato base;2019M12;559377.00
01 Andalucía;Dato base;2019M11;614040.00
01 Andalucía;Dato base;2019M10;1199848.00
01 Andalucía;Dato base;2019M09;1401442.00
01 Andalucía;Dato base;2019M08;1396903.00
01 Andalucía;Dato base;2019M07;1261605.00
01 Andalucía;Dato base;2019M06;1243679.00
01 Andalucía;Dato base;2019M05;1212454.00
01 Andalucía;Dato base;2019M04;1139274.00
01 Andalucía;Dato base;2019M03;842934.00
01 Andalucía;Dato base;2019M02;626983.00
01 Andalucía;Dato base;2019M01;574761.00
01 Andalucía;Dato base;2018M12;552595.00
01 Andalucía;Dato base;2018M11;604357.00
01 Andalucía;Dato base;2018M10;1140163.00
01 Andalucía;Dato base;2018M09;1319350.00
01 Andalucía;Dato base;2018M08;1424410.00
01 Andalucía;Dato base;2018M07;1327577.00
01 Andalucía;Dato base;2018M06;1168948.00
01 Andalucía;Dato base;2018M05;1193716.00
01 Andalucía;Dato base;2018M04;1044566.00
01 Andalucía;Dato base;2018M03;787749.00
01 Andalucía;Dato base;2018M02;579798.00
01 Andalucía;Dato base;2018M01;538026.00
01 Andalucía;Dato base;2017M12;510486.00
01 Andalucía;Dato base;2017M11;569632.00
01 Andalucía;Dato base;2017M10;1119427.00
01 Andalucía;Dato base;2017M09;1327059.00
01 Andalucía;Dato base;2017M08;1422593.00
01 Andalucía;Dato base;2017M07;1356267.00
01 Andalucía;Dato base;2017M06;1164980.00
01 Andalucía;Dato base;2017M05;1176002.00
01 Andalucía;Dato base;2017M04;1044661.00
01 Andalucía;Dato base;2017M03;720603.00
01 Andalucía;Dato base;2017M02;584543.00
01 Andalucía;Dato base;2017M01;522009.00
01 Andalucía;Dato base;2016M12;495562.00
01 Andalucía;Dato base;2016M11;548318.00
01 Andalucía;Dato base;2016M10;1094199.00
01 Andalucía;Dato base;2016M09;1117892.00
01 Andalucía;Dato base;2016M08;1374753.00
01 Andalucía;Dato base;2016M07;1211907.00
01 Andalucía;Dato base;2016M06;1057266.00
01 Andalucía;Dato base;2016M05;1091989.00
01 Andalucía;Dato base;2016M04;967258.00
01 Andalucía;Dato base;2016M03;683760.00
01 Andalucía;Dato base;2016M02;493279.00
01 Andalucía;Dato base;2016M01;453459.00
01 Andalucía;Dato base;2015M12;446806.00
01 Andalucía;Dato base;2015M11;487964.00
01 Andalucía;Dato base;2015M10;996515.00
01 Andalucía;Tasa de variación anual;2020M03;-64.06
01 Andalucía;Tasa de variación anual;2020M02;-0.31
01 Andalucía;Tasa de variación anual;2020M01;5.47
01 Andalucía;Tasa de variación anual;2019M12;1.23
01 Andalucía;Tasa de variación anual;2019M11;1.60
01 Andalucía;Tasa de variación anual;2019M10;5.23
01 Andalucía;Tasa de variación anual;2019M09;6.22
01 Andalucía;Tasa de variación anual;2019M08;-1.93
01 Andalucía;Tasa de variación anual;2019M07;-4.97
01 Andalucía;Tasa de variación anual;2019M06;6.39
01 Andalucía;Tasa de variación anual;2019M05;1.57
01 Andalucía;Tasa de variación anual;2019M04;9.07
01 Andalucía;Tasa de variación anual;2019M03;7.01
01 Andalucía;Tasa de variación anual;2019M02;8.14
01 Andalucía;Tasa de variación anual;2019M01;6.83
01 Andalucía;Tasa de variación anual;2018M12;8.25
01 Andalucía;Tasa de variación anual;2018M11;6.10
01 Andalucía;Tasa de variación anual;2018M10;1.85
01 Andalucía;Tasa de variación anual;2018M09;-0.58
01 Andalucía;Tasa de variación anual;2018M08;0.13
01 Andalucía;Tasa de variación anual;2018M07;-2.12
01 Andalucía;Tasa de variación anual;2018M06;0.34
01 Andalucía;Tasa de variación anual;2018M05;1.51
01 Andalucía;Tasa de variación anual;2018M04;-0.01
01 Andalucía;Tasa de variación anual;2018M03;9.32
01 Andalucía;Tasa de variación anual;2018M02;-0.81
01 Andalucía;Tasa de variación anual;2018M01;3.07
01 Andalucía;Tasa de variación anual;2017M12;3.01
01 Andalucía;Tasa de variación anual;2017M11;3.89
01 Andalucía;Tasa de variación anual;2017M10;2.31
01 Andalucía;Tasa de variación anual;2017M09;18.71
01 Andalucía;Tasa de variación anual;2017M08;3.48
01 Andalucía;Tasa de variación anual;2017M07;11.91
01 Andalucía;Tasa de variación anual;2017M06;10.19
01 Andalucía;Tasa de variación anual;2017M05;7.69
01 Andalucía;Tasa de variación anual;2017M04;8.00
01 Andalucía;Tasa de variación anual;2017M03;5.39
01 Andalucía;Tasa de variación anual;2017M02;18.50
01 Andalucía;Tasa de variación anual;2017M01;15.12
01 Andalucía;Tasa de variación anual;2016M12;10.91
01 Andalucía;Tasa de variación anual;2016M11;12.37
01 Andalucía;Tasa de variación anual;2016M10;9.80
01 Andalucía;Tasa de variación anual;2016M09;11.00
01 Andalucía;Tasa de variación anual;2016M08;5.77
01 Andalucía;Tasa de variación anual;2016M07;11.31
01 Andalucía;Tasa de variación anual;2016M06;15.26
01 Andalucía;Tasa de variación anual;2016M05;15.07
01 Andalucía;Tasa de variación anual;2016M04;15.63
01 Andalucía;Tasa de variación anual;2016M03;29.90
01 Andalucía;Tasa de variación anual;2016M02;20.68
01 Andalucía;Tasa de variación anual;2016M01;21.63
01 Andalucía;Tasa de variación anual;2015M12;28.01
01 Andalucía;Tasa de variación anual;2015M11;26.71
01 Andalucía;Tasa de variación anual;2015M10;20.59
01 Andalucía;Acumulado en lo que va de año;2020M03;1534151.00
01 Andalucía;Acumulado en lo que va de año;2020M02;1231223.00
01 Andalucía;Acumulado en lo que va de año;2020M01;606190.00
01 Andalucía;Acumulado en lo que va de año;2019M12;12079017.00
01 Andalucía;Acumulado en lo que va de año;2019M11;11519640.00
01 Andalucía;Acumulado en lo que va de año;2019M10;10905601.00
01 Andalucía;Acumulado en lo que va de año;2019M09;9705753.00
01 Andalucía;Acumulado en lo que va de año;2019M08;8304311.00
01 Andalucía;Acumulado en lo que va de año;2019M07;6907407.00
01 Andalucía;Acumulado en lo que va de año;2019M06;5645802.00
01 Andalucía;Acumulado en lo que va de año;2019M05;4402123.00
01 Andalucía;Acumulado en lo que va de año;2019M04;3189668.00
01 Andalucía;Acumulado en lo que va de año;2019M03;2044678.00
01 Andalucía;Acumulado en lo que va de año;2019M02;1201744.00
01 Andalucía;Acumulado en lo que va de año;2019M01;574761.00
01 Andalucía;Acumulado en lo que va de año;2018M12;11681256.00
01 Andalucía;Acumulado en lo que va de año;2018M11;11128661.00
01 Andalucía;Acumulado en lo que va de año;2018M10;10524304.00
01 Andalucía;Acumulado en lo que va de año;2018M09;9384140.00
01 Andalucía;Acumulado en lo que va de año;2018M08;8064790.00
01 Andalucía;Acumulado en lo que va de año;2018M07;6640380.00
01 Andalucía;Acumulado en lo que va de año;2018M06;5312803.00
01 Andalucía;Acumulado en lo que va de año;2018M05;4143855.00
01 Andalucía;Acumulado en lo que va de año;2018M04;2950139.00
01 Andalucía;Acumulado en lo que va de año;2018M03;1905573.00
01 Andalucía;Acumulado en lo que va de año;2018M02;1117825.00
01 Andalucía;Acumulado en lo que va de año;2018M01;538026.00
01 Andalucía;Acumulado en lo que va de año;2017M12;11518262.00
01 Andalucía;Acumulado en lo que va de año;2017M11;11007776.00
01 Andalucía;Acumulado en lo que va de año;2017M10;10438144.00
01 Andalucía;Acumulado en lo que va de año;2017M09;9318716.00
01 Andalucía;Acumulado en lo que va de año;2017M08;7991658.00
01 Andalucía;Acumulado en lo que va de año;2017M07;6569064.00
01 Andalucía;Acumulado en lo que va de año;2017M06;5212797.00
01 Andalucía;Acumulado en lo que va de año;2017M05;4047817.00
01 Andalucía;Acumulado en lo que va de año;2017M04;2871815.00
01 Andalucía;Acumulado en lo que va de año;2017M03;1827155.00
01 Andalucía;Acumulado en lo que va de año;2017M02;1106552.00
01 Andalucía;Acumulado en lo que va de año;2017M01;522009.00
01 Andalucía;Acumulado en lo que va de año;2016M12;10589642.00
01 Andalucía;Acumulado en lo que va de año;2016M11;10094080.00
01 Andalucía;Acumulado en lo que va de año;2016M10;9545762.00
01 Andalucía;Acumulado en lo que va de año;2016M09;8451564.00
01 Andalucía;Acumulado en lo que va de año;2016M08;7333672.00
01 Andalucía;Acumulado en lo que va de año;2016M07;5958919.00
01 Andalucía;Acumulado en lo que va de año;2016M06;4747011.00
01 Andalucía;Acumulado en lo que va de año;2016M05;3689745.00
01 Andalucía;Acumulado en lo que va de año;2016M04;2597756.00
01 Andalucía;Acumulado en lo que va de año;2016M03;1630498.00
01 Andalucía;Acumulado en lo que va de año;2016M02;946738.00
01 Andalucía;Acumulado en lo que va de año;2016M01;453459.00
01 Andalucía;Acumulado en lo que va de año;2015M12;
01 Andalucía;Acumulado en lo que va de año;2015M11;
01 Andalucía;Acumulado en lo que va de año;2015M10;
01 Andalucía;Tasa de variación acumulada;2020M03;-24.97
01 Andalucía;Tasa de variación acumulada;2020M02;2.45
01 Andalucía;Tasa de variación acumulada;2020M01;5.47
01 Andalucía;Tasa de variación acumulada;2019M12;3.41
01 Andalucía;Tasa de variación acumulada;2019M11;3.51
01 Andalucía;Tasa de variación acumulada;2019M10;3.62
01 Andalucía;Tasa de variación acumulada;2019M09;3.43
01 Andalucía;Tasa de variación acumulada;2019M08;2.97
01 Andalucía;Tasa de variación acumulada;2019M07;4.02
01 Andalucía;Tasa de variación acumulada;2019M06;6.27
01 Andalucía;Tasa de variación acumulada;2019M05;6.23
01 Andalucía;Tasa de variación acumulada;2019M04;8.12
01 Andalucía;Tasa de variación acumulada;2019M03;7.30
01 Andalucía;Tasa de variación acumulada;2019M02;7.51
01 Andalucía;Tasa de variación acumulada;2019M01;6.83
01 Andalucía;Tasa de variación acumulada;2018M12;1.42
01 Andalucía;Tasa de variación acumulada;2018M11;1.10
01 Andalucía;Tasa de variación acumulada;2018M10;0.83
01 Andalucía;Tasa de variación acumulada;2018M09;0.70
01 Andalucía;Tasa de variación acumulada;2018M08;0.92
01 Andalucía;Tasa de variación acumulada;2018M07;1.09
01 Andalucía;Tasa de variación acumulada;2018M06;1.92
01 Andalucía;Tasa de variación acumulada;2018M05;2.37
01 Andalucía;Tasa de variación acumulada;2018M04;2.73
01 Andalucía;Tasa de variación acumulada;2018M03;4.29
01 Andalucía;Tasa de variación acumulada;2018M02;1.02
01 Andalucía;Tasa de variación acumulada;2018M01;3.07
01 Andalucía;Tasa de variación acumulada;2017M12;8.77
01 Andalucía;Tasa de variación acumulada;2017M11;9.05
01 Andalucía;Tasa de variación acumulada;2017M10;9.35
01 Andalucía;Tasa de variación acumulada;2017M09;10.26
01 Andalucía;Tasa de variación acumulada;2017M08;8.97
01 Andalucía;Tasa de variación acumulada;2017M07;10.24
01 Andalucía;Tasa de variación acumulada;2017M06;9.81
01 Andalucía;Tasa de variación acumulada;2017M05;9.70
01 Andalucía;Tasa de variación acumulada;2017M04;10.55
01 Andalucía;Tasa de variación acumulada;2017M03;12.06
01 Andalucía;Tasa de variación acumulada;2017M02;16.88
01 Andalucía;Tasa de variación acumulada;2017M01;15.12
01 Andalucía;Tasa de variación acumulada;2016M12;13.41
01 Andalucía;Tasa de variación acumulada;2016M11;13.53
01 Andalucía;Tasa de variación acumulada;2016M10;13.60
01 Andalucía;Tasa de variación acumulada;2016M09;14.11
01 Andalucía;Tasa de variación acumulada;2016M08;14.60
01 Andalucía;Tasa de variación acumulada;2016M07;16.85
01 Andalucía;Tasa de variación acumulada;2016M06;18.36
01 Andalucía;Tasa de variación acumulada;2016M05;19.28
01 Andalucía;Tasa de variación acumulada;2016M04;21.14
01 Andalucía;Tasa de variación acumulada;2016M03;24.66
01 Andalucía;Tasa de variación acumulada;2016M02;21.13
01 Andalucía;Tasa de variación acumulada;2016M01;21.63
01 Andalucía;Tasa de variación acumulada;2015M12;
01 Andalucía;Tasa de variación acumulada;2015M11;
01 Andalucía;Tasa de variación acumulada;2015M10;
04 Balears, Illes;Dato base;2020M03;116018.00
04 Balears, Illes;Dato base;2020M02;185550.00
04 Balears, Illes;Dato base;2020M01;103902.00
04 Balears, Illes;Dato base;2019M12;124929.00
04 Balears, Illes;Dato base;2019M11;182833.00
04 Balears, Illes;Dato base;2019M10;1225112.00
04 Balears, Illes;Dato base;2019M09;2006683.00
04 Balears, Illes;Dato base;2019M08;2257057.00
04 Balears, Illes;Dato base;2019M07;2344104.00
04 Balears, Illes;Dato base;2019M06;2065329.00
04 Balears, Illes;Dato base;2019M05;1701173.00
04 Balears, Illes;Dato base;2019M04;1081589.00
04 Balears, Illes;Dato base;2019M03;365813.00
04 Balears, Illes;Dato base;2019M02;184351.00
04 Balears, Illes;Dato base;2019M01;141922.00
04 Balears, Illes;Dato base;2018M12;183329.00
04 Balears, Illes;Dato base;2018M11;188018.00
04 Balears, Illes;Dato base;2018M10;1284111.00
04 Balears, Illes;Dato base;2018M09;2031600.00
04 Balears, Illes;Dato base;2018M08;2297469.00
04 Balears, Illes;Dato base;2018M07;2429816.00
04 Balears, Illes;Dato base;2018M06;2121434.00
04 Balears, Illes;Dato base;2018M05;1708101.00
04 Balears, Illes;Dato base;2018M04;930679.00
04 Balears, Illes;Dato base;2018M03;401293.00
04 Balears, Illes;Dato base;2018M02;156311.00
04 Balears, Illes;Dato base;2018M01;119437.00
04 Balears, Illes;Dato base;2017M12;99275.00
04 Balears, Illes;Dato base;2017M11;177426.00
04 Balears, Illes;Dato base;2017M10;1256543.00
04 Balears, Illes;Dato base;2017M09;2009288.00
04 Balears, Illes;Dato base;2017M08;2352198.00
04 Balears, Illes;Dato base;2017M07;2484880.00
04 Balears, Illes;Dato base;2017M06;2101520.00
04 Balears, Illes;Dato base;2017M05;1717352.00
04 Balears, Illes;Dato base;2017M04;998445.00
04 Balears, Illes;Dato base;2017M03;325442.00
04 Balears, Illes;Dato base;2017M02;162771.00
04 Balears, Illes;Dato base;2017M01;107156.00
04 Balears, Illes;Dato base;2016M12;101338.00
04 Balears, Illes;Dato base;2016M11;152665.00
04 Balears, Illes;Dato base;2016M10;1242445.00
04 Balears, Illes;Dato base;2016M09;1861414.00
04 Balears, Illes;Dato base;2016M08;2292425.00
04 Balears, Illes;Dato base;2016M07;2359490.00
04 Balears, Illes;Dato base;2016M06;1945565.00
04 Balears, Illes;Dato base;2016M05;1612832.00
04 Balears, Illes;Dato base;2016M04;770338.00
04 Balears, Illes;Dato base;2016M03;391922.00
04 Balears, Illes;Dato base;2016M02;164735.00
04 Balears, Illes;Dato base;2016M01;102379.00
04 Balears, Illes;Dato base;2015M12;95914.00
04 Balears, Illes;Dato base;2015M11;125595.00
04 Balears, Illes;Dato base;2015M10;991830.00
04 Balears, Illes;Tasa de variación anual;2020M03;-68.28
04 Balears, Illes;Tasa de variación anual;2020M02;0.65
04 Balears, Illes;Tasa de variación anual;2020M01;-26.79
04 Balears, Illes;Tasa de variación anual;2019M12;-31.86
04 Balears, Illes;Tasa de variación anual;2019M11;-2.76
04 Balears, Illes;Tasa de variación anual;2019M10;-4.59
04 Balears, Illes;Tasa de variación anual;2019M09;-1.23
04 Balears, Illes;Tasa de variación anual;2019M08;-1.76
04 Balears, Illes;Tasa de variación anual;2019M07;-3.53
04 Balears, Illes;Tasa de variación anual;2019M06;-2.64
04 Balears, Illes;Tasa de variación anual;2019M05;-0.41
