Comunidades autónomas;Tipo de dato;Periodo;Total
04 Balears, Illes;Tasa de variación anual;2019M04;16.22
04 Balears, Illes;Tasa de variación anual;2019M03;-8.84
04 Balears, Illes;Tasa de variación anual;2019M02;17.94
04 Balears, Illes;Tasa de variación anual;2019M01;18.83
04 Balears, Illes;Tasa de variación anual;2018M12;84.67
04 Balears, Illes;Tasa de variación anual;2018M11;5.97
04 Balears, Illes;Tasa de variación anual;2018M10;2.19
04 Balears, Illes;Tasa de variación anual;2018M09;1.11
04 Balears, Illes;Tasa de variación anual;2018M08;-2.33
04 Balears, Illes;Tasa de variación anual;2018M07;-2.22
04 Balears, Illes;Tasa de variación anual;2018M06;0.95
04 Balears, Illes;Tasa de variación anual;2018M05;-0.54
04 Balears, Illes;Tasa de variación anual;2018M04;-6.79
04 Balears, Illes;Tasa de variación anual;2018M03;23.31
04 Balears, Illes;Tasa de variación anual;2018M02;-3.97
04 Balears, Illes;Tasa de variación anual;2018M01;11.46
04 Balears, Illes;Tasa de variación anual;2017M12;-2.04
04 Balears, Illes;Tasa de variación anual;2017M11;16.22
04 Balears, Illes;Tasa de variación anual;2017M10;1.13
04 Balears, Illes;Tasa de variación anual;2017M09;7.94
04 Balears, Illes;Tasa de variación anual;2017M08;2.61
04 Balears, Illes;Tasa de variación anual;2017M07;5.31
04 Balears, Illes;Tasa de variación anual;2017M06;8.02
04 Balears, Illes;Tasa de variación anual;2017M05;6.48
04 Balears, Illes;Tasa de variación anual;2017M04;29.61
04 Balears, Illes;Tasa de variación anual;2017M03;-16.96
04 Balears, Illes;Tasa de variación anual;2017M02;-1.19
04 Balears, Illes;Tasa de variación anual;2017M01;4.67
04 Balears, Illes;Tasa de variación anual;2016M12;5.66
04 Balears, Illes;Tasa de variación anual;2016M11;21.55
04 Balears, Illes;Tasa de variación anual;2016M10;25.27
04 Balears, Illes;Tasa de variación anual;2016M09;9.14
04 Balears, Illes;Tasa de variación anual;2016M08;2.57
04 Balears, Illes;Tasa de variación anual;2016M07;12.30
04 Balears, Illes;Tasa de variación anual;2016M06;12.13
04 Balears, Illes;Tasa de variación anual;2016M05;9.76
04 Balears, Illes;Tasa de variación anual;2016M04;10.47
04 Balears, Illes;Tasa de variación anual;2016M03;43.30
04 Balears, Illes;Tasa de variación anual;2016M02;35.36
04 Balears, Illes;Tasa de variación anual;2016M01;-3.68
04 Balears, Illes;Tasa de variación anual;2015M12;0.70
04 Balears, Illes;Tasa de variación anual;2015M11;-8.44
04 Balears, Illes;Tasa de variación anual;2015M10;4.02
04 Balears, Illes;Acumulado en lo que va de año;2020M03;405470.00
04 Balears, Illes;Acumulado en lo que va de año;2020M02;289452.00
04 Balears, Illes;Acumulado en lo que va de año;2020M01;103902.00
04 Balears, Illes;Acumulado en lo que va de año;2019M12;13680923.00
04 Balears, Illes;Acumulado en lo que va de año;2019M11;13555994.00
04 Balears, Illes;Acumulado en lo que va de año;2019M10;13373161.00
04 Balears, Illes;Acumulado en lo que va de año;2019M09;12148049.00
04 Balears, Illes;Acumulado en lo que va de año;2019M08;10141366.00
04 Balears, Illes;Acumulado en lo que va de año;2019M07;7884310.00
04 Balears, Illes;Acumulado en lo que va de año;2019M06;5540205.00
04 Balears, Illes;Acumulado en lo que va de año;2019M05;3474876.00
04 Balears, Illes;Acumulado en lo que va de año;2019M04;1773704.00
04 Balears, Illes;Acumulado en lo que va de año;2019M03;692086.00
04 Balears, Illes;Acumulado en lo que va de año;2019M02;326273.00
04 Balears, Illes;Acumulado en lo que va de año;2019M01;141922.00
04 Balears, Illes;Acumulado en lo que va de año;2018M12;13851598.00
04 Balears, Illes;Acumulado en lo que va de año;2018M11;13668269.00
04 Balears, Illes;Acumulado en lo que va de año;2018M10;13480250.00
04 Balears, Illes;Acumulado en lo que va de año;2018M09;12196140.00
04 Balears, Illes;Acumulado en lo que va de año;2018M08;10164540.00
04 Balears, Illes;Acumulado en lo que va de año;2018M07;7867071.00
04 Balears, Illes;Acumulado en lo que va de año;2018M06;5437255.00
04 Balears, Illes;Acumulado en lo que va de año;2018M05;3315821.00
04 Balears, Illes;Acumulado en lo que va de año;2018M04;1607720.00
04 Balears, Illes;Acumulado en lo que va de año;2018M03;677041.00
04 Balears, Illes;Acumulado en lo que va de año;2018M02;275748.00
04 Balears, Illes;Acumulado en lo que va de año;2018M01;119437.00
04 Balears, Illes;Acumulado en lo que va de año;2017M12;13792296.00
04 Balears, Illes;Acumulado en lo que va de año;2017M11;13693021.00
04 Balears, Illes;Acumulado en lo que va de año;2017M10;13515595.00
04 Balears, Illes;Acumulado en lo que va de año;2017M09;12259052.00
04 Balears, Illes;Acumulado en lo que va de año;2017M08;10249765.00
04 Balears, Illes;Acumulado en lo que va de año;2017M07;7897567.00
04 Balears, Illes;Acumulado en lo que va de año;2017M06;5412687.00
04 Balears, Illes;Acumulado en lo que va de año;2017M05;3311167.00
04 Balears, Illes;Acumulado en lo que va de año;2017M04;1593814.00
04 Balears, Illes;Acumulado en lo que va de año;2017M03;595369.00
04 Balears, Illes;Acumulado en lo que va de año;2017M02;269927.00
04 Balears, Illes;Acumulado en lo que va de año;2017M01;107156.00
04 Balears, Illes;Acumulado en lo que va de año;2016M12;12997549.00
04 Balears, Illes;Acumulado en lo que va de año;2016M11;12896211.00
04 Balears, Illes;Acumulado en lo que va de año;2016M10;12743545.00
04 Balears, Illes;Acumulado en lo que va de año;2016M09;11501100.00
04 Balears, Illes;Acumulado en lo que va de año;2016M08;9639686.00
04 Balears, Illes;Acumulado en lo que va de año;2016M07;7347261.00
04 Balears, Illes;Acumulado en lo que va de año;2016M06;4987771.00
04 Balears, Illes;Acumulado en lo que va de año;2016M05;3042206.00
04 Balears, Illes;Acumulado en lo que va de año;2016M04;1429375.00
04 Balears, Illes;Acumulado en lo que va de año;2016M03;659037.00
04 Balears, Illes;Acumulado en lo que va de año;2016M02;267115.00
04 Balears, Illes;Acumulado en lo que va de año;2016M01;102379.00
04 Balears, Illes;Acumulado en lo que va de año;2015M12;
04 Balears, Illes;Acumulado en lo que va de año;2015M11;
04 Balears, Illes;Acumulado en lo que va de año;2015M10;
04 Balears, Illes;Tasa de variación acumulada;2020M03;-41.41
04 Balears, Illes;Tasa de variación acumulada;2020M02;-11.29
04 Balears, Illes;Tasa de variación acumulada;2020M01;-26.79
04 Balears, Illes;Tasa de variación acumulada;2019M12;-1.23
04 Balears, Illes;Tasa de variación acumulada;2019M11;-0.82
04 Balears, Illes;Tasa de variación acumulada;2019M10;-0.79
04 Balears, Illes;Tasa de variación acumulada;2019M09;-0.39
04 Balears, Illes;Tasa de variación acumulada;2019M08;-0.23
04 Balears, Illes;Tasa de variación acumulada;2019M07;0.22
04 Balears, Illes;Tasa de variación acumulada;2019M06;1.89
04 Balears, Illes;Tasa de variación acumulada;2019M05;4.80
04 Balears, Illes;Tasa de variación acumulada;2019M04;10.32
04 Balears, Illes;Tasa de variación acumulada;2019M03;2.22
04 Balears, Illes;Tasa de variación acumulada;2019M02;18.32
04 Balears, Illes;Tasa de variación acumulada;2019M01;18.83
04 Balears, Illes;Tasa de variación acumulada;2018M12;0.43
04 Balears, Illes;Tasa de variación acumulada;2018M11;-0.18
04 Balears, Illes;Tasa de variación acumulada;2018M10;-0.26
04 Balears, Illes;Tasa de variación acumulada;2018M09;-0.51
04 Balears, Illes;Tasa de variación acumulada;2018M08;-0.83
04 Balears, Illes;Tasa de variación acumulada;2018M07;-0.39
04 Balears, Illes;Tasa de variación acumulada;2018M06;0.45
04 Balears, Illes;Tasa de variación acumulada;2018M05;0.14
04 Balears, Illes;Tasa de variación acumulada;2018M04;0.87
04 Balears, Illes;Tasa de variación acumulada;2018M03;13.72
04 Balears, Illes;Tasa de variación acumulada;2018M02;2.16
04 Balears, Illes;Tasa de variación acumulada;2018M01;11.46
04 Balears, Illes;Tasa de variación acumulada;2017M12;6.11
04 Balears, Illes;Tasa de variación acumulada;2017M11;6.18
04 Balears, Illes;Tasa de variación acumulada;2017M10;6.06
04 Balears, Illes;Tasa de variación acumulada;2017M09;6.59
04 Balears, Illes;Tasa de variación acumulada;2017M08;6.33
04 Balears, Illes;Tasa de variación acumulada;2017M07;7.49
04 Balears, Illes;Tasa de variación acumulada;2017M06;8.52
04 Balears, Illes;Tasa de variación acumulada;2017M05;8.84
04 Balears, Illes;Tasa de variación acumulada;2017M04;11.50
04 Balears, Illes;Tasa de variación acumulada;2017M03;-9.66
04 Balears, Illes;Tasa de variación acumulada;2017M02;1.05
04 Balears, Illes;Tasa de variación acumulada;2017M01;4.67
04 Balears, Illes;Tasa de variación acumulada;2016M12;11.49
04 Balears, Illes;Tasa de variación acumulada;2016M11;11.54
04 Balears, Illes;Tasa de variación acumulada;2016M10;11.43
04 Balears, Illes;Tasa de variación acumulada;2016M09;10.11
04 Balears, Illes;Tasa de variación acumulada;2016M08;10.30
04 Balears, Illes;Tasa de variación acumulada;2016M07;12.96
04 Balears, Illes;Tasa de variación acumulada;2016M06;13.27
04 Balears, Illes;Tasa de variación acumulada;2016M05;14.02
04 Balears, Illes;Tasa de variación acumulada;2016M04;19.23
04 Balears, Illes;Tasa de variación acumulada;2016M03;31.41
04 Balears, Illes;Tasa de variación acumulada;2016M02;17.16
04 Balears, Illes;Tasa de variación acumulada;2016M01;-3.68
04 Balears, Illes;Tasa de variación acumulada;2015M12;
04 Balears, Illes;Tasa de variación acumulada;2015M11;
04 Balears, Illes;Tasa de variación acumulada;2015M10;
05 Canarias;Dato base;2020M03;459947.00
05 Canarias;Dato base;2020M02;1170610.00
05 Canarias;Dato base;2020M01;1101223.00
05 Canarias;Dato base;2019M12;1200794.00
05 Canarias;Dato base;2019M11;1173321.00
05 Canarias;Dato base;2019M10;1143663.00
05 Canarias;Dato base;2019M09;952091.00
05 Canarias;Dato base;2019M08;1040241.00
05 Canarias;Dato base;2019M07;1031662.00
05 Canarias;Dato base;2019M06;931810.00
05 Canarias;Dato base;2019M05;888777.00
05 Canarias;Dato base;2019M04;1105596.00
05 Canarias;Dato base;2019M03;1340619.00
05 Canarias;Dato base;2019M02;1179673.00
05 Canarias;Dato base;2019M01;1158782.00
05 Canarias;Dato base;2018M12;1256190.00
05 Canarias;Dato base;2018M11;1184564.00
05 Canarias;Dato base;2018M10;1257744.00
05 Canarias;Dato base;2018M09;1039221.00
05 Canarias;Dato base;2018M08;1098384.00
05 Canarias;Dato base;2018M07;1120219.00
05 Canarias;Dato base;2018M06;1001434.00
05 Canarias;Dato base;2018M05;967209.00
05 Canarias;Dato base;2018M04;1103003.00
05 Canarias;Dato base;2018M03;1347702.00
05 Canarias;Dato base;2018M02;1192866.00
05 Canarias;Dato base;2018M01;1183486.00
05 Canarias;Dato base;2017M12;1256370.00
05 Canarias;Dato base;2017M11;1239853.00
05 Canarias;Dato base;2017M10;1309652.00
05 Canarias;Dato base;2017M09;1111400.00
05 Canarias;Dato base;2017M08;1165967.00
05 Canarias;Dato base;2017M07;1186481.00
05 Canarias;Dato base;2017M06;1034652.00
05 Canarias;Dato base;2017M05;993431.00
05 Canarias;Dato base;2017M04;1255062.00
05 Canarias;Dato base;2017M03;1283939.00
05 Canarias;Dato base;2017M02;1183979.00
05 Canarias;Dato base;2017M01;1193435.00
05 Canarias;Dato base;2016M12;1250412.00
05 Canarias;Dato base;2016M11;1162023.00
05 Canarias;Dato base;2016M10;1270466.00
05 Canarias;Dato base;2016M09;994235.00
05 Canarias;Dato base;2016M08;1111644.00
05 Canarias;Dato base;2016M07;1140679.00
05 Canarias;Dato base;2016M06;936941.00
05 Canarias;Dato base;2016M05;899045.00
05 Canarias;Dato base;2016M04;1064849.00
05 Canarias;Dato base;2016M03;1206148.00
05 Canarias;Dato base;2016M02;1114746.00
05 Canarias;Dato base;2016M01;1108379.00
05 Canarias;Dato base;2015M12;1054142.00
05 Canarias;Dato base;2015M11;1103158.00
05 Canarias;Dato base;2015M10;1094268.00
05 Canarias;Tasa de variación anual;2020M03;-65.69
05 Canarias;Tasa de variación anual;2020M02;-0.77
05 Canarias;Tasa de variación anual;2020M01;-4.97
05 Canarias;Tasa de variación anual;2019M12;-4.41
05 Canarias;Tasa de variación anual;2019M11;-0.95
05 Canarias;Tasa de variación anual;2019M10;-9.07
05 Canarias;Tasa de variación anual;2019M09;-8.38
05 Canarias;Tasa de variación anual;2019M08;-5.29
05 Canarias;Tasa de variación anual;2019M07;-7.91
05 Canarias;Tasa de variación anual;2019M06;-6.95
05 Canarias;Tasa de variación anual;2019M05;-8.11
05 Canarias;Tasa de variación anual;2019M04;0.24
05 Canarias;Tasa de variación anual;2019M03;-0.53
05 Canarias;Tasa de variación anual;2019M02;-1.11
05 Canarias;Tasa de variación anual;2019M01;-2.09
05 Canarias;Tasa de variación anual;2018M12;-0.01
05 Canarias;Tasa de variación anual;2018M11;-4.46
05 Canarias;Tasa de variación anual;2018M10;-3.96
05 Canarias;Tasa de variación anual;2018M09;-6.49
05 Canarias;Tasa de variación anual;2018M08;-5.80
05 Canarias;Tasa de variación anual;2018M07;-5.58
05 Canarias;Tasa de variación anual;2018M06;-3.21
05 Canarias;Tasa de variación anual;2018M05;-2.64
05 Canarias;Tasa de variación anual;2018M04;-12.12
05 Canarias;Tasa de variación anual;2018M03;4.97
05 Canarias;Tasa de variación anual;2018M02;0.75
05 Canarias;Tasa de variación anual;2018M01;-0.83
05 Canarias;Tasa de variación anual;2017M12;0.48
05 Canarias;Tasa de variación anual;2017M11;6.70
05 Canarias;Tasa de variación anual;2017M10;3.08
05 Canarias;Tasa de variación anual;2017M09;11.78
05 Canarias;Tasa de variación anual;2017M08;4.89
05 Canarias;Tasa de variación anual;2017M07;4.02
05 Canarias;Tasa de variación anual;2017M06;10.43
05 Canarias;Tasa de variación anual;2017M05;10.50
05 Canarias;Tasa de variación anual;2017M04;17.86
05 Canarias;Tasa de variación anual;2017M03;6.45
05 Canarias;Tasa de variación anual;2017M02;6.21
05 Canarias;Tasa de variación anual;2017M01;7.67
05 Canarias;Tasa de variación anual;2016M12;18.62
05 Canarias;Tasa de variación anual;2016M11;5.34
05 Canarias;Tasa de variación anual;2016M10;16.10
05 Canarias;Tasa de variación anual;2016M09;14.03
05 Canarias;Tasa de variación anual;2016M08;9.15
05 Canarias;Tasa de variación anual;2016M07;22.08
05 Canarias;Tasa de variación anual;2016M06;18.74
05 Canarias;Tasa de variación anual;2016M05;10.37
05 Canarias;Tasa de variación anual;2016M04;16.68
05 Canarias;Tasa de variación anual;2016M03;13.50
05 Canarias;Tasa de variación anual;2016M02;12.39
05 Canarias;Tasa de variación anual;2016M01;6.90
05 Canarias;Tasa de variación anual;2015M12;3.73
05 Canarias;Tasa de variación anual;2015M11;7.08
05 Canarias;Tasa de variación anual;2015M10;3.46
05 Canarias;Acumulado en lo que va de año;2020M03;2731780.00
05 Canarias;Acumulado en lo que va de año;2020M02;2271833.00
05 Canarias;Acumulado en lo que va de año;2020M01;1101223.00
05 Canarias;Acumulado en lo que va de año;2019M12;13147009.00
05 Canarias;Acumulado en lo que va de año;2019M11;11946214.00
05 Canarias;Acumulado en lo que va de año;2019M10;10772893.00
05 Canarias;Acumulado en lo que va de año;2019M09;9629230.00
05 Canarias;Acumulado en lo que va de año;2019M08;8677139.00
05 Canarias;Acumulado en lo que va de año;2019M07;7636899.00
05 Canarias;Acumulado en lo que va de año;2019M06;6605237.00
05 Canarias;Acumulado en lo que va de año;2019M05;5673428.00
05 Canarias;Acumulado en lo que va de año;2019M04;4784650.00
05 Canarias;Acumulado en lo que va de año;2019M03;3679075.00
05 Canarias;Acumulado en lo que va de año;2019M02;2338455.00
05 Canarias;Acumulado en lo que va de año;2019M01;1158782.00
05 Canarias;Acumulado en lo que va de año;2018M12;13752022.00
05 Canarias;Acumulado en lo que va de año;2018M11;12495832.00
05 Canarias;Acumulado en lo que va de año;2018M10;11311268.00
05 Canarias;Acumulado en lo que va de año;2018M09;10053523.00
05 Canarias;Acumulado en lo que va de año;2018M08;9014302.00
05 Canarias;Acumulado en lo que va de año;2018M07;7915918.00
05 Canarias;Acumulado en lo que va de año;2018M06;6795699.00
05 Canarias;Acumulado en lo que va de año;2018M05;5794265.00
05 Canarias;Acumulado en lo que va de año;2018M04;4827056.00
05 Canarias;Acumulado en lo que va de año;2018M03;3724054.00
05 Canarias;Acumulado en lo que va de año;2018M02;2376352.00
05 Canarias;Acumulado en lo que va de año;2018M01;1183486.00
05 Canarias;Acumulado en lo que va de año;2017M12;14214222.00
05 Canarias;Acumulado en lo que va de año;2017M11;12957852.00
05 Canarias;Acumulado en lo que va de año;2017M10;11717999.00
05 Canarias;Acumulado en lo que va de año;2017M09;10408347.00
05 Canarias;Acumulado en lo que va de año;2017M08;9296947.00
05 Canarias;Acumulado en lo que va de año;2017M07;8130980.00
05 Canarias;Acumulado en lo que va de año;2017M06;6944499.00
05 Canarias;Acumulado en lo que va de año;2017M05;5909847.00
05 Canarias;Acumulado en lo que va de año;2017M04;4916416.00
05 Canarias;Acumulado en lo que va de año;2017M03;3661354.00
05 Canarias;Acumulado en lo que va de año;2017M02;2377415.00
05 Canarias;Acumulado en lo que va de año;2017M01;1193435.00
05 Canarias;Acumulado en lo que va de año;2016M12;13259567.00
05 Canarias;Acumulado en lo que va de año;2016M11;12009155.00
05 Canarias;Acumulado en lo que va de año;2016M10;10847132.00
05 Canarias;Acumulado en lo que va de año;2016M09;9576666.00
05 Canarias;Acumulado en lo que va de año;2016M08;8582431.00
05 Canarias;Acumulado en lo que va de año;2016M07;7470787.00
05 Canarias;Acumulado en lo que va de año;2016M06;6330108.00
05 Canarias;Acumulado en lo que va de año;2016M05;5393167.00
05 Canarias;Acumulado en lo que va de año;2016M04;4494122.00
05 Canarias;Acumulado en lo que va de año;2016M03;3429273.00
05 Canarias;Acumulado en lo que va de año;2016M02;2223125.00
05 Canarias;Acumulado en lo que va de año;2016M01;1108379.00
05 Canarias;Acumulado en lo que va de año;2015M12;
05 Canarias;Acumulado en lo que va de año;2015M11;
05 Canarias;Acumulado en lo que va de año;2015M10;
05 Canarias;Tasa de variación acumulada;2020M03;-25.75
05 Canarias;Tasa de variación acumulada;2020M02;-2.85
05 Canarias;Tasa de variación acumulada;2020M01;-4.97
05 Canarias;Tasa de variación acumulada;2019M12;-4.40
05 Canarias;Tasa de variación acumulada;2019M11;-4.40
05 Canarias;Tasa de variación acumulada;2019M10;-4.76
05 Canarias;Tasa de variación acumulada;2019M09;-4.22
05 Canarias;Tasa de variación acumulada;2019M08;-3.74
05 Canarias;Tasa de variación acumulada;2019M07;-3.52
05 Canarias;Tasa de variación acumulada;2019M06;-2.80
05 Canarias;Tasa de variación acumulada;2019M05;-2.09
05 Canarias;Tasa de variación acumulada;2019M04;-0.88
05 Canarias;Tasa de variación acumulada;2019M03;-1.21
05 Canarias;Tasa de variación acumulada;2019M02;-1.59
05 Canarias;Tasa de variación acumulada;2019M01;-2.09
05 Canarias;Tasa de variación acumulada;2018M12;-3.25
05 Canarias;Tasa de variación acumulada;2018M11;-3.57
05 Canarias;Tasa de variación acumulada;2018M10;-3.47
05 Canarias;Tasa de variación acumulada;2018M09;-3.41
05 Canarias;Tasa de variación acumulada;2018M08;-3.04
05 Canarias;Tasa de variación acumulada;2018M07;-2.64
05 Canarias;Tasa de variación acumulada;2018M06;-2.14
05 Canarias;Tasa de variación acumulada;2018M05;-1.96
05 Canarias;Tasa de variación acumulada;2018M04;-1.82
05 Canarias;Tasa de variación acumulada;2018M03;1.71
05 Canarias;Tasa de variación acumulada;2018M02;-0.04
05 Canarias;Tasa de variación acumulada;2018M01;-0.83
05 Canarias;Tasa de variación acumulada;2017M12;7.20
05 Canarias;Tasa de variación acumulada;2017M11;7.90
05 Canarias;Tasa de variación acumulada;2017M10;8.03
05 Canarias;Tasa de variación acumulada;2017M09;8.68
05 Canarias;Tasa de variación acumulada;2017M08;8.33
05 Canarias;Tasa de variación acumulada;2017M07;8.84
05 Canarias;Tasa de variación acumulada;2017M06;9.71
05 Canarias;Tasa de variación acumulada;2017M05;9.58
05 Canarias;Tasa de variación acumulada;2017M04;9.40
05 Canarias;Tasa de variación acumulada;2017M03;6.77
05 Canarias;Tasa de variación acumulada;2017M02;6.94
05 Canarias;Tasa de variación acumulada;2017M01;7.67
05 Canarias;Tasa de variación acumulada;2016M12;13.49
05 Canarias;Tasa de variación acumulada;2016M11;12.98
05 Canarias;Tasa de variación acumulada;2016M10;13.86
05 Canarias;Tasa de variación acumulada;2016M09;13.57
05 Canarias;Tasa de variación acumulada;2016M08;13.52
05 Canarias;Tasa de variación acumulada;2016M07;14.20
05 Canarias;Tasa de variación acumulada;2016M06;12.88
05 Canarias;Tasa de variación acumulada;2016M05;11.93
05 Canarias;Tasa de variación acumulada;2016M04;12.24
05 Canarias;Tasa de variación acumulada;2016M03;10.93
05 Canarias;Tasa de variación acumulada;2016M02;9.59
05 Canarias;Tasa de variación acumulada;2016M01;6.90
05 Canarias;Tasa de variación acumulada;2015M12;
05 Canarias;Tasa de variación acumulada;2015M11;
05 Canarias;Tasa de variación acumulada;2015M10;
09 Cataluña;Dato base;2020M03;406683.00
09 Cataluña;Dato base;2020M02;964706.00
09 Cataluña;Dato base;2020M01;869168.00
09 Cataluña;Dato base;2019M12;993085.00
09 Cataluña;Dato base;2019M11;1049423.00
09 Cataluña;Dato base;2019M10;1691438.00
09 Cataluña;Dato base;2019M09;2011982.00
09 Cataluña;Dato base;2019M08;2358838.00
09 Cataluña;Dato base;2019M07;2376608.00
09 Cataluña;Dato base;2019M06;2151525.00
09 Cataluña;Dato base;2019M05;1830968.00
09 Cataluña;Dato base;2019M04;1677105.00
09 Cataluña;Dato base;2019M03;1280871.00
09 Cataluña;Dato base;2019M02;1030292.00
09 Cataluña;Dato base;2019M01;910329.00
09 Cataluña;Dato base;2018M12;969322.00
09 Cataluña;Dato base;2018M11;1034633.00
09 Cataluña;Dato base;2018M10;1665215.00
09 Cataluña;Dato base;2018M09;2007474.00
09 Cataluña;Dato base;2018M08;2433300.00
09 Cataluña;Dato base;2018M07;2427842.00
09 Cataluña;Dato base;2018M06;2104373.00
09 Cataluña;Dato base;2018M05;1885365.00
09 Cataluña;Dato base;2018M04;1570899.00
09 Cataluña;Dato base;2018M03;1217330.00
09 Cataluña;Dato base;2018M02;1015793.00
09 Cataluña;Dato base;2018M01;864798.00
09 Cataluña;Dato base;2017M12;822765.00
09 Cataluña;Dato base;2017M11;981462.00
09 Cataluña;Dato base;2017M10;1497032.00
09 Cataluña;Dato base;2017M09;1999689.00
09 Cataluña;Dato base;2017M08;2567612.00
09 Cataluña;Dato base;2017M07;2557125.00
09 Cataluña;Dato base;2017M06;2026356.00
09 Cataluña;Dato base;2017M05;1920946.00
09 Cataluña;Dato base;2017M04;1755019.00
09 Cataluña;Dato base;2017M03;1155003.00
09 Cataluña;Dato base;2017M02;989198.00
09 Cataluña;Dato base;2017M01;846213.00
09 Cataluña;Dato base;2016M12;956468.00
09 Cataluña;Dato base;2016M11;1009971.00
09 Cataluña;Dato base;2016M10;1562897.00
09 Cataluña;Dato base;2016M09;1876937.00
09 Cataluña;Dato base;2016M08;2501193.00
09 Cataluña;Dato base;2016M07;2394803.00
09 Cataluña;Dato base;2016M06;1850823.00
09 Cataluña;Dato base;2016M05;1630433.00
09 Cataluña;Dato base;2016M04;1483021.00
09 Cataluña;Dato base;2016M03;1076434.00
09 Cataluña;Dato base;2016M02;930354.00
09 Cataluña;Dato base;2016M01;865842.00
09 Cataluña;Dato base;2015M12;890133.00
09 Cataluña;Dato base;2015M11;1029270.00
09 Cataluña;Dato base;2015M10;1521926.00
09 Cataluña;Tasa de variación anual;2020M03;-68.25
09 Cataluña;Tasa de variación anual;2020M02;-6.37
09 Cataluña;Tasa de variación anual;2020M01;-4.52
09 Cataluña;Tasa de variación anual;2019M12;2.45
09 Cataluña;Tasa de variación anual;2019M11;1.43
09 Cataluña;Tasa de variación anual;2019M10;1.57
09 Cataluña;Tasa de variación anual;2019M09;0.22
09 Cataluña;Tasa de variación anual;2019M08;-3.06
09 Cataluña;Tasa de variación anual;2019M07;-2.11
09 Cataluña;Tasa de variación anual;2019M06;2.24
09 Cataluña;Tasa de variación anual;2019M05;-2.89
09 Cataluña;Tasa de variación anual;2019M04;6.76
09 Cataluña;Tasa de variación anual;2019M03;5.22
09 Cataluña;Tasa de variación anual;2019M02;1.43
09 Cataluña;Tasa de variación anual;2019M01;5.26
09 Cataluña;Tasa de variación anual;2018M12;17.81
09 Cataluña;Tasa de variación anual;2018M11;5.42
09 Cataluña;Tasa de variación anual;2018M10;11.23
09 Cataluña;Tasa de variación anual;2018M09;0.39
09 Cataluña;Tasa de variación anual;2018M08;-5.23
09 Cataluña;Tasa de variación anual;2018M07;-5.06
09 Cataluña;Tasa de variación anual;2018M06;3.85
09 Cataluña;Tasa de variación anual;2018M05;-1.85
09 Cataluña;Tasa de variación anual;2018M04;-10.49
09 Cataluña;Tasa de variación anual;2018M03;5.40
09 Cataluña;Tasa de variación anual;2018M02;2.69
09 Cataluña;Tasa de variación anual;2018M01;2.20
09 Cataluña;Tasa de variación anual;2017M12;-13.98
09 Cataluña;Tasa de variación anual;2017M11;-2.82
09 Cataluña;Tasa de variación anual;2017M10;-4.21
09 Cataluña;Tasa de variación anual;2017M09;6.54
09 Cataluña;Tasa de variación anual;2017M08;2.66
09 Cataluña;Tasa de variación anual;2017M07;6.78
09 Cataluña;Tasa de variación anual;2017M06;9.48
09 Cataluña;Tasa de variación anual;2017M05;17.82
