Comunidades autónomas;Tipo de dato;Periodo;Total
13 Madrid, Comunidad de;Tasa de variación anual;2019M02;2.77
13 Madrid, Comunidad de;Tasa de variación anual;2019M01;8.99
13 Madrid, Comunidad de;Tasa de variación anual;2018M12;10.63
13 Madrid, Comunidad de;Tasa de variación anual;2018M11;12.96
13 Madrid, Comunidad de;Tasa de variación anual;2018M10;12.89
13 Madrid, Comunidad de;Tasa de variación anual;2018M09;9.08
13 Madrid, Comunidad de;Tasa de variación anual;2018M08;-4.39
13 Madrid, Comunidad de;Tasa de variación anual;2018M07;6.90
13 Madrid, Comunidad de;Tasa de variación anual;2018M06;1.40
13 Madrid, Comunidad de;Tasa de variación anual;2018M05;5.46
13 Madrid, Comunidad de;Tasa de variación anual;2018M04;-6.16
13 Madrid, Comunidad de;Tasa de variación anual;2018M03;17.18
13 Madrid, Comunidad de;Tasa de variación anual;2018M02;7.74
13 Madrid, Comunidad de;Tasa de variación anual;2018M01;9.44
13 Madrid, Comunidad de;Tasa de variación anual;2017M12;10.27
13 Madrid, Comunidad de;Tasa de variación anual;2017M11;17.48
13 Madrid, Comunidad de;Tasa de variación anual;2017M10;7.63
13 Madrid, Comunidad de;Tasa de variación anual;2017M09;9.98
13 Madrid, Comunidad de;Tasa de variación anual;2017M08;8.00
13 Madrid, Comunidad de;Tasa de variación anual;2017M07;12.73
13 Madrid, Comunidad de;Tasa de variación anual;2017M06;30.65
13 Madrid, Comunidad de;Tasa de variación anual;2017M05;11.61
13 Madrid, Comunidad de;Tasa de variación anual;2017M04;11.95
13 Madrid, Comunidad de;Tasa de variación anual;2017M03;25.97
13 Madrid, Comunidad de;Tasa de variación anual;2017M02;35.50
13 Madrid, Comunidad de;Tasa de variación anual;2017M01;23.27
13 Madrid, Comunidad de;Tasa de variación anual;2016M12;29.89
13 Madrid, Comunidad de;Tasa de variación anual;2016M11;22.55
13 Madrid, Comunidad de;Tasa de variación anual;2016M10;3.92
13 Madrid, Comunidad de;Tasa de variación anual;2016M09;23.50
13 Madrid, Comunidad de;Tasa de variación anual;2016M08;18.25
13 Madrid, Comunidad de;Tasa de variación anual;2016M07;16.99
13 Madrid, Comunidad de;Tasa de variación anual;2016M06;17.87
13 Madrid, Comunidad de;Tasa de variación anual;2016M05;2.75
13 Madrid, Comunidad de;Tasa de variación anual;2016M04;14.64
13 Madrid, Comunidad de;Tasa de variación anual;2016M03;4.01
13 Madrid, Comunidad de;Tasa de variación anual;2016M02;7.29
13 Madrid, Comunidad de;Tasa de variación anual;2016M01;14.05
13 Madrid, Comunidad de;Tasa de variación anual;2015M12;7.94
13 Madrid, Comunidad de;Tasa de variación anual;2015M11;14.04
13 Madrid, Comunidad de;Tasa de variación anual;2015M10;19.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2020M03;1381272.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2020M02;1129682.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2020M01;611422.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M12;7638375.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M11;7109316.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M10;6443464.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M09;5692691.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M08;5023484.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M07;4481594.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M06;3854597.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M05;3161576.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M04;2407624.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M03;1766947.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M02;1083584.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2019M01;584339.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M12;7139775.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M11;6613021.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M10;6009330.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M09;5299343.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M08;4602215.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M07;4095136.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M06;3475620.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M05;2872473.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M04;2213428.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M03;1582125.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M02;1021947.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2018M01;536137.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M12;6699785.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M11;6223630.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M10;5689200.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M09;5060296.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M08;4421176.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M07;3890841.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M06;3311318.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M05;2716517.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M04;2091602.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M03;1418864.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M02;940811.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2017M01;489884.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M12;5783137.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M11;5351317.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M10;4896413.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M09;4312109.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M08;3730982.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M07;3239911.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M06;2725838.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M05;2270564.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M04;1710671.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M03;1109726.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M02;730214.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2016M01;397420.00
13 Madrid, Comunidad de;Acumulado en lo que va de año;2015M12;
13 Madrid, Comunidad de;Acumulado en lo que va de año;2015M11;
13 Madrid, Comunidad de;Acumulado en lo que va de año;2015M10;
13 Madrid, Comunidad de;Tasa de variación acumulada;2020M03;-21.83
13 Madrid, Comunidad de;Tasa de variación acumulada;2020M02;4.25
13 Madrid, Comunidad de;Tasa de variación acumulada;2020M01;4.63
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M12;6.98
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M11;7.50
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M10;7.22
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M09;7.42
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M08;9.15
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M07;9.44
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M06;10.90
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M05;10.06
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M04;8.77
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M03;11.68
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M02;6.03
13 Madrid, Comunidad de;Tasa de variación acumulada;2019M01;8.99
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M12;6.57
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M11;6.26
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M10;5.63
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M09;4.72
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M08;4.09
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M07;5.25
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M06;4.96
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M05;5.74
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M04;5.82
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M03;11.51
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M02;8.62
13 Madrid, Comunidad de;Tasa de variación acumulada;2018M01;9.44
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M12;15.85
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M11;16.30
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M10;16.19
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M09;17.35
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M08;18.50
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M07;20.09
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M06;21.48
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M05;19.64
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M04;22.27
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M03;27.86
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M02;28.84
13 Madrid, Comunidad de;Tasa de variación acumulada;2017M01;23.27
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M12;14.06
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M11;12.95
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M10;12.14
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M09;13.35
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M08;11.92
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M07;11.02
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M06;9.96
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M05;8.50
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M04;10.53
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M03;8.42
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M02;10.87
13 Madrid, Comunidad de;Tasa de variación acumulada;2016M01;14.05
13 Madrid, Comunidad de;Tasa de variación acumulada;2015M12;
13 Madrid, Comunidad de;Tasa de variación acumulada;2015M11;
13 Madrid, Comunidad de;Tasa de variación acumulada;2015M10;
Otras Comunidades Autónomas;Dato base;2020M03;227439.00
Otras Comunidades Autónomas;Dato base;2020M02;430976.00
Otras Comunidades Autónomas;Dato base;2020M01;412262.00
Otras Comunidades Autónomas;Dato base;2019M12;450772.00
Otras Comunidades Autónomas;Dato base;2019M11;433271.00
Otras Comunidades Autónomas;Dato base;2019M10;738323.00
Otras Comunidades Autónomas;Dato base;2019M09;850056.00
Otras Comunidades Autónomas;Dato base;2019M08;1255888.00
Otras Comunidades Autónomas;Dato base;2019M07;998490.00
Otras Comunidades Autónomas;Dato base;2019M06;807329.00
Otras Comunidades Autónomas;Dato base;2019M05;698557.00
Otras Comunidades Autónomas;Dato base;2019M04;695662.00
Otras Comunidades Autónomas;Dato base;2019M03;487515.00
Otras Comunidades Autónomas;Dato base;2019M02;400651.00
Otras Comunidades Autónomas;Dato base;2019M01;411955.00
Otras Comunidades Autónomas;Dato base;2018M12;438778.00
Otras Comunidades Autónomas;Dato base;2018M11;424567.00
Otras Comunidades Autónomas;Dato base;2018M10;731627.00
Otras Comunidades Autónomas;Dato base;2018M09;831695.00
Otras Comunidades Autónomas;Dato base;2018M08;1239564.00
Otras Comunidades Autónomas;Dato base;2018M07;962995.00
Otras Comunidades Autónomas;Dato base;2018M06;653738.00
Otras Comunidades Autónomas;Dato base;2018M05;761962.00
Otras Comunidades Autónomas;Dato base;2018M04;730316.00
Otras Comunidades Autónomas;Dato base;2018M03;453476.00
Otras Comunidades Autónomas;Dato base;2018M02;337950.00
Otras Comunidades Autónomas;Dato base;2018M01;413842.00
Otras Comunidades Autónomas;Dato base;2017M12;416889.00
Otras Comunidades Autónomas;Dato base;2017M11;437748.00
Otras Comunidades Autónomas;Dato base;2017M10;645718.00
Otras Comunidades Autónomas;Dato base;2017M09;808077.00
Otras Comunidades Autónomas;Dato base;2017M08;1200137.00
Otras Comunidades Autónomas;Dato base;2017M07;1111660.00
Otras Comunidades Autónomas;Dato base;2017M06;635744.00
Otras Comunidades Autónomas;Dato base;2017M05;651158.00
Otras Comunidades Autónomas;Dato base;2017M04;605784.00
Otras Comunidades Autónomas;Dato base;2017M03;424202.00
Otras Comunidades Autónomas;Dato base;2017M02;318335.00
Otras Comunidades Autónomas;Dato base;2017M01;344125.00
Otras Comunidades Autónomas;Dato base;2016M12;388197.00
Otras Comunidades Autónomas;Dato base;2016M11;392468.00
Otras Comunidades Autónomas;Dato base;2016M10;622031.00
Otras Comunidades Autónomas;Dato base;2016M09;721945.00
Otras Comunidades Autónomas;Dato base;2016M08;1139144.00
Otras Comunidades Autónomas;Dato base;2016M07;883891.00
Otras Comunidades Autónomas;Dato base;2016M06;577033.00
Otras Comunidades Autónomas;Dato base;2016M05;549674.00
Otras Comunidades Autónomas;Dato base;2016M04;556678.00
Otras Comunidades Autónomas;Dato base;2016M03;408953.00
Otras Comunidades Autónomas;Dato base;2016M02;293232.00
Otras Comunidades Autónomas;Dato base;2016M01;280922.00
Otras Comunidades Autónomas;Dato base;2015M12;373199.00
Otras Comunidades Autónomas;Dato base;2015M11;318319.00
Otras Comunidades Autónomas;Dato base;2015M10;641412.00
Otras Comunidades Autónomas;Tasa de variación anual;2020M03;-53.35
Otras Comunidades Autónomas;Tasa de variación anual;2020M02;7.57
Otras Comunidades Autónomas;Tasa de variación anual;2020M01;0.07
Otras Comunidades Autónomas;Tasa de variación anual;2019M12;2.73
Otras Comunidades Autónomas;Tasa de variación anual;2019M11;2.05
Otras Comunidades Autónomas;Tasa de variación anual;2019M10;0.92
Otras Comunidades Autónomas;Tasa de variación anual;2019M09;2.21
Otras Comunidades Autónomas;Tasa de variación anual;2019M08;1.32
Otras Comunidades Autónomas;Tasa de variación anual;2019M07;3.69
Otras Comunidades Autónomas;Tasa de variación anual;2019M06;23.49
Otras Comunidades Autónomas;Tasa de variación anual;2019M05;-8.32
Otras Comunidades Autónomas;Tasa de variación anual;2019M04;-4.75
Otras Comunidades Autónomas;Tasa de variación anual;2019M03;7.51
Otras Comunidades Autónomas;Tasa de variación anual;2019M02;18.55
Otras Comunidades Autónomas;Tasa de variación anual;2019M01;-0.46
Otras Comunidades Autónomas;Tasa de variación anual;2018M12;5.25
Otras Comunidades Autónomas;Tasa de variación anual;2018M11;-3.01
Otras Comunidades Autónomas;Tasa de variación anual;2018M10;13.30
Otras Comunidades Autónomas;Tasa de variación anual;2018M09;2.92
Otras Comunidades Autónomas;Tasa de variación anual;2018M08;3.29
Otras Comunidades Autónomas;Tasa de variación anual;2018M07;-13.37
Otras Comunidades Autónomas;Tasa de variación anual;2018M06;2.83
Otras Comunidades Autónomas;Tasa de variación anual;2018M05;17.02
Otras Comunidades Autónomas;Tasa de variación anual;2018M04;20.56
Otras Comunidades Autónomas;Tasa de variación anual;2018M03;6.90
Otras Comunidades Autónomas;Tasa de variación anual;2018M02;6.16
Otras Comunidades Autónomas;Tasa de variación anual;2018M01;20.26
Otras Comunidades Autónomas;Tasa de variación anual;2017M12;7.39
Otras Comunidades Autónomas;Tasa de variación anual;2017M11;11.54
Otras Comunidades Autónomas;Tasa de variación anual;2017M10;3.81
Otras Comunidades Autónomas;Tasa de variación anual;2017M09;11.93
Otras Comunidades Autónomas;Tasa de variación anual;2017M08;5.35
Otras Comunidades Autónomas;Tasa de variación anual;2017M07;25.77
Otras Comunidades Autónomas;Tasa de variación anual;2017M06;10.17
Otras Comunidades Autónomas;Tasa de variación anual;2017M05;18.46
Otras Comunidades Autónomas;Tasa de variación anual;2017M04;8.82
Otras Comunidades Autónomas;Tasa de variación anual;2017M03;3.73
Otras Comunidades Autónomas;Tasa de variación anual;2017M02;8.56
Otras Comunidades Autónomas;Tasa de variación anual;2017M01;22.50
Otras Comunidades Autónomas;Tasa de variación anual;2016M12;4.02
Otras Comunidades Autónomas;Tasa de variación anual;2016M11;23.29
Otras Comunidades Autónomas;Tasa de variación anual;2016M10;-3.02
Otras Comunidades Autónomas;Tasa de variación anual;2016M09;3.65
Otras Comunidades Autónomas;Tasa de variación anual;2016M08;6.83
Otras Comunidades Autónomas;Tasa de variación anual;2016M07;-1.79
Otras Comunidades Autónomas;Tasa de variación anual;2016M06;10.91
Otras Comunidades Autónomas;Tasa de variación anual;2016M05;4.57
Otras Comunidades Autónomas;Tasa de variación anual;2016M04;12.93
Otras Comunidades Autónomas;Tasa de variación anual;2016M03;16.93
Otras Comunidades Autónomas;Tasa de variación anual;2016M02;1.99
Otras Comunidades Autónomas;Tasa de variación anual;2016M01;-8.65
Otras Comunidades Autónomas;Tasa de variación anual;2015M12;6.53
Otras Comunidades Autónomas;Tasa de variación anual;2015M11;18.22
Otras Comunidades Autónomas;Tasa de variación anual;2015M10;25.74
Otras Comunidades Autónomas;Acumulado en lo que va de año;2020M03;1070677.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2020M02;843238.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2020M01;412262.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M12;8230917.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M11;7780145.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M10;7346874.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M09;6608551.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M08;5758494.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M07;4502607.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M06;3504117.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M05;2696788.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M04;1998230.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M03;1300121.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M02;812606.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2019M01;411955.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M12;7980511.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M11;7541733.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M10;7117166.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M09;6385538.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M08;5553844.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M07;4314279.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M06;3351284.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M05;2697546.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M04;1935584.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M03;1205268.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M02;751792.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2018M01;413842.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M12;7599577.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M11;7182688.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M10;6744940.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M09;6099222.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M08;5291145.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M07;4091008.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M06;2979348.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M05;2343604.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M04;1692446.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M03;1086662.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M02;662460.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2017M01;344125.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M12;6814166.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M11;6425970.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M10;6033501.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M09;5411471.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M08;4689526.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M07;3550382.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M06;2666492.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M05;2089458.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M04;1539785.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M03;983106.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M02;574153.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2016M01;280922.00
Otras Comunidades Autónomas;Acumulado en lo que va de año;2015M12;
Otras Comunidades Autónomas;Acumulado en lo que va de año;2015M11;
Otras Comunidades Autónomas;Acumulado en lo que va de año;2015M10;
Otras Comunidades Autónomas;Tasa de variación acumulada;2020M03;-17.65
Otras Comunidades Autónomas;Tasa de variación acumulada;2020M02;3.77
Otras Comunidades Autónomas;Tasa de variación acumulada;2020M01;0.07
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M12;3.14
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M11;3.16
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M10;3.23
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M09;3.49
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M08;3.68
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M07;4.37
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M06;4.56
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M05;-0.03
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M04;3.24
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M03;7.87
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M02;8.09
Otras Comunidades Autónomas;Tasa de variación acumulada;2019M01;-0.46
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M12;5.01
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M11;5.00
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M10;5.52
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M09;4.69
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M08;4.96
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M07;5.46
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M06;12.48
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M05;15.10
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M04;14.37
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M03;10.91
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M02;13.48
Otras Comunidades Autónomas;Tasa de variación acumulada;2018M01;20.26
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M12;11.53
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M11;11.78
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M10;11.79
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M09;12.71
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M08;12.83
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M07;15.23
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M06;11.73
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M05;12.16
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M04;9.91
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M03;10.53
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M02;15.38
Otras Comunidades Autónomas;Tasa de variación acumulada;2017M01;22.50
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M12;5.17
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M11;5.24
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M10;4.24
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M09;5.15
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M08;5.38
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M07;4.93
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M06;7.36
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M05;6.42
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M04;7.10
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M03;4.06
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M02;-3.51
Otras Comunidades Autónomas;Tasa de variación acumulada;2016M01;-8.65
Otras Comunidades Autónomas;Tasa de variación acumulada;2015M12;
Otras Comunidades Autónomas;Tasa de variación acumulada;2015M11;
Otras Comunidades Autónomas;Tasa de variación acumulada;2015M10;
